Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0,0.05,0,0,0,7.68,0.043264,-2.7663E-18,-5.8775E-36,0.071936,-7.953E-35,0.1024,0,0,0,0,0,0,package://my_robot/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_robot/meshes/base_link.STL,,base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
f_l_s,-5.5511E-17,0.00055205,-0.020526,0,0,0,0.3,0.001,-8.6579E-23,1.0006E-22,0.001,1.7666E-07,0.001,0,0,0,0,0,0,package://my_robot/meshes/f_l_s.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_robot/meshes/f_l_s.STL,,front_left_suspension-1,Coordinate System6,Axis5,flsjoint,prismatic,0.12,0.13,0.01822,0,0,0,base_link,0,0,1,50,1,0,0.02,,,5,0,,,,
f_l_w,0,-0.022493,0,0,0,0,0.69233,0.00096541,-2.1293E-23,-2.5388E-20,0.0016972,1.0189E-20,0.00096541,0,0,0,0,0,0,package://my_robot/meshes/f_l_w.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_robot/meshes/f_l_w.STL,,front_left_wheel-3,Coordinate System2,Axis1,flwjoint,continuous,0,0.057,-0.04,0,0,0,f_l_s,0,1,0,15,8,,,,,0.6,0.15,,,,
r_l_s,-1.3878E-17,0.00055205,-0.020526,0,0,0,0.3,0.001,-3.3571E-23,-1.0438E-23,0.001,1.7666E-07,0.001,0,0,0,0,0,0,package://my_robot/meshes/r_l_s.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_robot/meshes/r_l_s.STL,,rear_left_suspension-1,Coordinate System7,Axis6,rlsjoint,prismatic,-0.12,0.13,0.01822,0,0,0,base_link,0,0,1,50,1,0,0.02,,,5,0,,,,
r_l_w,-1.3878E-17,-0.022493,0,0,0,0,0.69233,0.00096541,4.042E-20,1.5483E-20,0.0016972,1.4413E-23,0.00096541,0,0,0,0,0,0,package://my_robot/meshes/r_l_w.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_robot/meshes/r_l_w.STL,,rear_left_wheel-3,Coordinate System3,Axis2,rlwjoint,continuous,0,0.057,-0.04,0,0,0,r_l_s,0,1,0,15,8,,,,,0.6,0.15,,,,
f_r_s,0,-0.00055205,-0.020526,0,0,0,0.3,0.001,-5.3065E-23,-2.5662E-22,0.001,-1.7666E-07,0.001,0,0,0,0,0,0,package://my_robot/meshes/f_r_s.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_robot/meshes/f_r_s.STL,,front_right_suspension-1,Coordinate System8,Axis7,frsjoint,prismatic,0.12,-0.13,0.01822,0,0,0,base_link,0,0,1,50,1,0,0.02,,,5,0,,,,
f_r_w,0,0.022493,0,0,0,0,0.69233,0.00096541,-1.0007E-20,7.9276E-20,0.0016972,-2.0113E-20,0.00096541,0,0,0,0,0,0,package://my_robot/meshes/f_r_w.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_robot/meshes/f_r_w.STL,,front_right_wheel-2,Coordinate System4,Axis3,frwjoint,continuous,0,-0.057,-0.04,0,0,0,f_r_s,0,1,0,15,8,,,,,0.6,0.15,,,,
r_r_s,0,-0.00055205,-0.020526,0,0,0,0.3,0.001,-6.2652E-24,-3.0969E-22,0.001,-1.7666E-07,0.001,0,0,0,0,0,0,package://my_robot/meshes/r_r_s.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_robot/meshes/r_r_s.STL,,rear_right_suspension-1,Coordinate System9,Axis8,rrsjoint,prismatic,-0.12,-0.13,0.01822,0,0,0,base_link,0,0,1,50,1,0,0.02,,,5,0,,,,
r_r_w,1.3878E-17,0.022493,0,0,0,0,0.69233,0.00096541,-4.5973E-23,-3.6424E-20,0.0016972,5.0775E-21,0.00096541,0,0,0,0,0,0,package://my_robot/meshes/r_r_w.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://my_robot/meshes/r_r_w.STL,,rear_right_wheel-1,Coordinate System5,Axis4,rrwjoint,continuous,0,-0.057,-0.04,0,0,0,r_r_s,0,1,0,15,8,,,,,0.6,0.15,,,,
